Date,Daily Funding Fees,Cumulative Funding Fees
2025-06-23,101.43402222719999,-1643.6484636409987
2025-06-24,598.3262603879999,-1045.3222032529989
2025-06-25,107.29370887619999,-938.0284943767989
2025-06-26,64.5494384241,-873.4790559526989
2025-06-27,35.4677948464,-838.0112611062989
2025-06-28,34.0563086518,-803.9549524544989
2025-06-29,0.6222903103999999,-803.3326621440989
2025-06-30,-24.3552808431,-827.6879429871989
2025-07-01,-7.8299752940000005,-835.5179182811988
2025-07-02,0.8920632298,-834.6258550513988
2025-07-03,-65.8763429914,-900.5021980427988
2025-07-04,-118.73936898459999,-1019.2415670273988
2025-07-05,-57.9523186,-1077.1938856273987
2025-07-06,-19.538450289,-1096.7323359163986
2025-07-07,-47.91223671939999,-1144.6445726357986
2025-07-08,-31.7881767918,-1176.4327494275985
2025-07-09,-142.1526547908,-1318.5854042183985
2025-07-10,-734.6938484952,-2053.2792527135985
2025-07-11,-1611.3243011437999,-3664.6035538573983
2025-07-12,-1041.012907282,-4705.616461139398
2025-07-13,-1569.4925790961,-6275.109040235498
2025-07-14,-851.792709402,-7126.901749637497
2025-07-15,-1536.4209017955002,-8663.322651432998
2025-07-16,-2780.6520881776,-11443.974739610598
2025-07-17,-1168.0387406784,-12612.013480288997
2025-07-18,-1087.3183336625,-13699.331813951498
2025-07-19,-476.45333119300005,-14175.785145144499
2025-07-20,-601.1452730048001,-14776.930418149299
2025-07-21,-2016.4407965312002,-16793.371214680497
2025-07-22,-2689.3096508046,-19482.680865485097
2025-07-23,-3242.0297721384,-22724.7106376235
2025-07-24,-596.9013440838,-23321.611981707298
2025-07-25,-180.9360942232,-23502.5480759305
2025-07-26,-916.2583733048,-24418.8064492353
2025-07-27,-126.1624416178,-24544.9688908531
2025-07-28,-1168.2829403592998,-25713.251831212398
2025-07-29,-234.128703914,-25947.380535126398
2025-07-30,91.9982948181,-25855.3822403083
2025-07-31,769.6687867717001,-25085.7134535366
2025-08-01,388.281793092,-24697.4316604446
2025-08-02,785.290784512,-23912.1408759326
2025-08-03,869.0885328970999,-23043.052343035502
2025-08-04,58.9649751528,-22984.0873678827
2025-08-05,-669.6752777124001,-23653.7626455951
2025-08-06,-431.6160632896,-24085.3787088847
2025-08-07,-1434.9209826996,-25520.2996915843
2025-08-08,-2289.6844356239,-27809.984127208198
2025-08-09,-4411.685502682801,-32221.669629891
2025-08-10,-5504.5966430784,-37726.2662729694
2025-08-11,-1863.3336676815002,-39589.5999406509
2025-08-12,-1243.3167067519998,-40832.9166474029
2025-08-13,-2033.8140620661,-42866.730709469
2025-08-14,-3029.0563136071,-45895.7870230761
2025-08-15,-1712.5273836749998,-47608.314406751095
2025-08-16,1017.6848301256001,-46590.62957662549
2025-08-17,1581.538291845,-45009.091284780494
2025-08-18,429.9091507444,-44579.18213403609
2025-08-19,1021.9256162500001,-43557.25651778609
2025-08-20,-129.85041222339999,-43687.10693000949
2025-08-21,-1717.6666893339002,-45404.77361934339
2025-08-22,-3211.605967845,-48616.37958718839
2025-08-23,-6245.1459782517995,-54861.52556544019
2025-08-24,-5158.8182413224,-60020.34380676259
2025-08-25,-2937.2383697699,-62957.58217653249
2025-08-26,-1666.377318987,-64623.959495519484
2025-08-27,-82.6294496328,-64706.58894515228
2025-08-28,1474.8468277797,-63231.74211737258
2025-08-29,3640.2590352971997,-59591.483082075385
2025-08-30,3929.2837320000003,-55662.19935007538
2025-08-31,1310.0208933377999,-54352.17845673758
2025-09-01,1094.2268998584,-53257.95155687918
2025-09-02,-198.2046046368,-53456.15616151598
2025-09-03,27.043402663200002,-53429.11275885278
2025-09-04,38.3921265392,-53390.72063231358
2025-09-05,2003.2980158208,-51387.42261649278
2025-09-06,1037.646902894,-50349.775713598785
2025-09-07,506.09883728000005,-49843.67687631879
2025-09-08,0.40215571499999997,-49843.27472060379
2025-09-09,148.2629461473,-49695.01177445649
2025-09-10,-191.8036707069,-49886.81544516339
2025-09-11,-127.3468358456,-50014.16228100899
2025-09-12,-554.1491952179999,-50568.31147622699
2025-09-13,-144.219232392,-50712.53070861899
2025-09-14,-1519.785502586,-52232.31621120499
2025-09-15,-1546.5277133076,-53778.84392451259
2025-09-16,-744.8686578765,-54523.71258238909
2025-09-17,1002.2802033380999,-53521.43237905099
2025-09-18,614.0063675668999,-52907.42601148409
2025-09-19,-516.0015563904,-53423.42756787449
2025-09-20,2044.7295871275,-51378.69798074699
2025-09-21,1049.9215467166,-50328.77643403039
2025-09-22,3926.3014275402,-46402.47500649019
2025-09-23,1074.8490988302,-45327.62590765999
2025-09-24,63.861800496,-45263.76410716399
2025-09-25,1333.7842818267002,-43929.97982533729
2025-09-26,4972.3972320231,-38957.58259331419
2025-09-27,-2074.2542140595,-41031.83680737369
2025-09-28,-183.3196057946,-41215.15641316829
2025-09-29,-1511.2019897132,-42726.35840288149
2025-09-30,-403.40608576560004,-43129.76448864709
2025-10-01,-1242.6595406800002,-44372.424029327085
2025-10-02,-3198.501418904,-47570.925448231086
2025-10-03,-3419.052565313,-50989.97801354409
2025-10-04,-50.7057296964,-51040.68374324049
2025-10-05,-2078.0071358208,-53118.69087906129
2025-10-06,-6563.0210554472005,-59681.71193450849
2025-10-07,-1559.1958260528,-61240.907760561284
2025-10-08,-1390.2062345686,-62631.11399512988
2025-10-09,-609.4080279179999,-63240.52202304788
2025-10-10,819.5215069755,-62421.00051607238
2025-10-11,8616.354622161,-53804.64589391138
2025-10-12,905.96787175,-52898.67802216138
2025-10-13,483.32675304270003,-52415.351269118684
2025-10-14,766.6553570880001,-51648.695912030686
2025-10-15,-720.582948363,-52369.278860393686
2025-10-16,-374.2481358501,-52743.52699624379
2025-10-17,-1132.8687169849,-53876.39571322869
2025-10-18,-640.9940115950001,-54517.38972482369
2025-10-19,-348.2945649632,-54865.68428978689
2025-10-20,-254.9699618972,-55120.65425168409
2025-10-21,0,-55120.65425168409
