Date,Daily Trading Volume (Call),Daily Trading Volume (Put),Daily Trading Volume (Futures),Daily Trading Volume (Spots),Cumulative Trading Volume
2025-05-19,0,0,0,0,4900.326724416596
2025-05-20,0,0,0,0,4900.326724416596
2025-05-21,0,0,0,0,4900.326724416596
2025-05-22,0,0,0,0,4900.326724416596
2025-05-23,0,0,0,0,4900.326724416596
2025-05-24,0,0,0,0,4900.326724416596
2025-05-25,0,0,0,0,4900.326724416596
2025-05-26,0,0,3056.4540623872645,0,7956.780786803861
2025-05-27,0,0,39.31080300177292,0,7996.091589805634
2025-05-28,0,0,0,0,7996.091589805634
2025-05-29,0,0,804.0046181300038,0,8800.096207935638
2025-05-30,0,0,572.2357447993064,0,9372.331952734945
2025-05-31,0,0,0,0,9372.331952734945
2025-06-01,0,0,0,0,9372.331952734945
2025-06-02,0,0,0,0,9372.331952734945
2025-06-03,0,0,0,0,9372.331952734945
2025-06-04,0,0,0,0,9372.331952734945
2025-06-05,0,0,920.4558797856336,0,10292.787832520578
2025-06-06,0,0,0,0,10292.787832520578
2025-06-07,0,0,0,0,10292.787832520578
2025-06-08,0,0,0,0,10292.787832520578
2025-06-09,0,0,0,0,10292.787832520578
2025-06-10,0,0,403.08160312089933,0,10695.869435641478
2025-06-11,0,0,0,0,10695.869435641478
2025-06-12,0,0,2.0014623552650246,0,10697.870897996743
2025-06-13,0,0,0,0,10697.870897996743
2025-06-14,0,0,0,0,10697.870897996743
2025-06-15,0,0,0,0,10697.870897996743
2025-06-16,0,0,39.39132524235513,0,10737.262223239099
2025-06-17,0,0,0,0,10737.262223239099
2025-06-18,0,0,0,0,10737.262223239099
2025-06-19,0,0,0,0,10737.262223239099
2025-06-20,0,0,0,0,10737.262223239099
2025-06-21,0,0,0,0,10737.262223239099
2025-06-22,0,0,0,0,10737.262223239099
2025-06-23,0,0,0,0,10737.262223239099
2025-06-24,0,0,6.001325399422038,0,10743.26354863852
2025-06-25,0,0,0,0,10743.26354863852
2025-06-26,0,0,871.3469267616272,0,11614.610475400148
2025-06-27,0,0,5393.160907612956,0,17007.771383013103
2025-06-28,0,0,0,0,17007.771383013103
2025-06-29,0,0,0,0,17007.771383013103
2025-06-30,0,0,0,0,17007.771383013103
2025-07-01,0,0,0,0,17007.771383013103
2025-07-02,0,0,0,0,17007.771383013103
2025-07-03,0,0,0,0,17007.771383013103
2025-07-04,0,0,38.676191323383236,0,17046.447574336486
2025-07-05,0,0,0,0,17046.447574336486
2025-07-06,0,0,0,0,17046.447574336486
2025-07-07,0,0,0,0,17046.447574336486
2025-07-08,0,0,0,0,17046.447574336486
2025-07-09,0,0,459.1496415163895,0,17505.597215852875
2025-07-10,0,0,3046.7486364863616,0,20552.345852339236
2025-07-11,0,0,202.543016997238,0,20754.888869336475
2025-07-12,0,0,0,0,20754.888869336475
2025-07-13,0,0,0,0,20754.888869336475
2025-07-14,0,0,166.80430460506363,0,20921.693173941538
2025-07-15,0,0,0,0,20921.693173941538
2025-07-16,0,0,223.2659040601973,0,21144.959078001735
2025-07-17,0,0,0,0,21144.959078001735
2025-07-18,0,0,0,0,21144.959078001735
2025-07-19,0,0,0,0,21144.959078001735
2025-07-20,0,0,0,0,21144.959078001735
2025-07-21,0,0,5487.565526374147,0,26632.52460437588
2025-07-22,0,0,0,0,26632.52460437588
2025-07-23,0,0,0,0,26632.52460437588
2025-07-24,0,0,0,0,26632.52460437588
2025-07-25,0,0,0,0,26632.52460437588
2025-07-26,0,0,0,0,26632.52460437588
2025-07-27,0,0,0,0,26632.52460437588
2025-07-28,0,0,0,0,26632.52460437588
2025-07-29,0,0,0,0,26632.52460437588
2025-07-30,0,0,0,0,26632.52460437588
2025-07-31,0,0,5.998309024482947,0,26638.522913400364
2025-08-01,0,0,0,0,26638.522913400364
2025-08-02,0,0,0,0,26638.522913400364
2025-08-03,0,0,0,0,26638.522913400364
2025-08-04,0,0,2.998786862082263,0,26641.521700262445
2025-08-05,0,0,0,0,26641.521700262445
